id,title,description,price,url,image,categoryId
p50,Горизонтально-расточной станок LB1000 — ООО «КРОСС ЭКСПОРТ»,"Горизонтально-расточной станок для постелей ГБЦ и блока LB1000. В наличии и под заказ, доставка по России, гарантия и техподдержка.",1000,https://sto.cross-export.ru/lb1000,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p51,Горизонтально-расточной станок LB2300 — ООО «КРОСС ЭКСПОРТ»,"Горизонтально-расточной станок для постелей ГБЦ и блока LB2300. В наличии и под заказ, доставка по России, гарантия и техподдержка.",2300,https://sto.cross-export.ru/lb2300,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p52,Горизонтально-расточной станок T8120SF — ООО «КРОСС ЭКСПОРТ»,"Горизонтально-расточной станок для постелей ГБЦ и блока T8120SF. В наличии и под заказ, доставка по России, гарантия и техподдержка.",8120,https://sto.cross-export.ru/t8120sf,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p53,Вертикально-хонинговальный станок 3М9816 — ООО «КРОСС ЭКСПОРТ»,"Вертикально-хонинговальный станок 3М9816. В наличии и под заказ, доставка по России, гарантия и техподдержка.",9816,https://sto.cross-export.ru/3m9816,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p54,Вертикально-хонинговальный станок 3MB9817 — ООО «КРОСС ЭКСПОРТ»,"Вертикально-хонинговальный станок 3MB9817. В наличии и под заказ, доставка по России, гарантия и техподдержка.",9817,https://sto.cross-export.ru/3mb9817,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p55,Вертикально-хонинговальный станок TH170D — ООО «КРОСС ЭКСПОРТ»,"Вертикально-хонинговальный станок TH170D. В наличии и под заказ, доставка по России, гарантия и техподдержка.",170,https://sto.cross-export.ru/th170d,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p56,Вертикально-хонинговальный станок VHM170 — ООО «КРОСС ЭКСПОРТ»,"Вертикально-хонинговальный станок VHM170. В наличии и под заказ, доставка по России, гарантия и техподдержка.",170,https://sto.cross-export.ru/vhm170,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p57,Стенд Common Rail NTS919-PRO — ООО «КРОСС ЭКСПОРТ»,"Стенд для проверки форсунок Common Rail NTS919-PRO. В наличии и под заказ, доставка по России, гарантия и техподдержка.",919,https://sto.cross-export.ru/nts919-pro,https://sto.cross-export.ru/images/tild6637-3362-4037-b661-313938346531___12.jpg,1
p58,Стенды для проверки ТНВД и форсунок Common Rail — ООО «КРОСС ЭКСПОРТ»,"Стенды для проверки ТНВД и форсунок Common Rail. Более 20 моделей в наличии и под заказ, скидка 25% на доставку по России, гарантия.",20,https://sto.cross-export.ru/tnvd,https://sto.cross-export.ru/images/tild6364-3566-4438-a366-303638373737__nts919-pro.jpg,1
p60,Гидравлический стенд NYM930 — ООО «КРОСС ЭКСПОРТ»,"Гидравлический стенд для проверки ТНВД NYM930. В наличии и под заказ, доставка по России, гарантия и техподдержка.",930,https://sto.cross-export.ru/nym930,https://sto.cross-export.ru/images/tild6637-3362-4037-b661-313938346531___12.jpg,1
